"city","state","longitude","latitude","AirPtCd"
"Eastport","Maine",-66.99,44.91,"KBHB"
"Bangor","Maine",-68.7833,44.8,"KBGR"
"Portland","Maine",-70.25,43.6667,"KPWM"
"Boston","Massachusetts",-71.0833,42.35,"KBOS"
"Providence","Rhode Island",-71.4,41.8333,"KPVD"
"Manchester","New Hampshire",-71.5,43,"KMHT"
"Montpelier","Vermont",-72.5333,44.25,"KMPV"
"Springfield","Massachusetts",-72.5667,42.1,"KCEF"
"New Haven","Connecticut",-72.9167,41.3167,"KHVN"
"Albany","New York",-73.75,42.6667,"KALB"
"New York","New York",-73.9667,40.7833,"KNYC"
"Atlantic City","New Jersey",-74.4167,39.3667,"KACY"
"Philadelphia","Pennsylvania",-75.1667,39.95,"KPHL"
"Dover","Delaware",-75.5267,39.1619,"KDOV"
"Scranton","Pennsylvania",-75.65,41.4,"KAVP"
"Watertown","New York",-75.9167,43.9667,"KART"
"Syracuse","New York",-76.1333,43.0333,"KSYR"
"Baltimore","Maryland",-76.6333,39.3,"KDMH"
"Richmond","Virginia",-77.4833,37.55,"KOFP"
"Wilmington","North Carolina",-77.95,34.2333,"KILM"
"Raleigh","North Carolina",-78.65,35.7667,"KRDU"
"Buffalo","New York",-78.8333,42.9167,"KBUF"
"Charleston","South Carolina",-79.9333,32.7833,"KCHS"
"Pittsburgh","Pennsylvania",-79.95,40.45,"KAGC"
"Roanoke","Virginia",-79.95,37.2833,"KROA"
"Miami","Florida",-80.2,25.7667,"KMIA"
"Charlotte","North Carolina",-80.8333,35.2333,"KCLT"
"Columbia","South Carolina",-81.0333,34,"KCUB"
"Savannah","Georgia",-81.0833,32.0833,"KSVN"
"Cleveland","Ohio",-81.6167,41.4667,"KBKL"
"Charleston","West Virginia",-81.6333,38.35,"KCRW"
"Jacksonville","Florida",-81.6667,30.3667,"KNIP"
"Key West","Florida",-81.8,24.55,"KEYW"
"Tampa","Florida",-82.45,27.95,"KTPA"
"Columbus","Ohio",-83.0167,40,"KOSU"
"Detroit","Michigan",-83.05,42.3333,"KDET"
"Knoxville","Tennessee",-83.9333,35.95,"KTYS"
"Sault Ste Marie","Michigan",-84.35,46.5,"KANJ"
"Atlanta","Georgia",-84.3833,33.75,"KATL"
"Cincinnati","Ohio",-84.5,39.1333,"KLUK"
"Grand Rapids","Michigan",-85.6667,42.9667,"KGRR"
"Louisville","Kentucky",-85.7667,38.25,"KSDF"
"Indianapolis","Indiana",-86.1667,39.7667,"KEYE"
"Montgomery","Alabama",-86.3,32.35,"KMXF"
"Nashville","Tennessee",-86.7833,36.1667,"KBNA"
"Birmingham","Alabama",-86.8333,33.5,"KBHM"
"Chicago","Illinois",-87.6167,41.8333,"KMDW"
"Milwaukee","Wisconsin",-87.9167,43.0333,"KMKE"
"Mobile","Alabama",-88.05,30.7,"KBFM"
"Springfield","Illinois",-89.6333,39.8,"KSPI"
"Memphis","Tennessee",-90.05,35.15,"KMEM"
"New Orleans","Louisiana",-90.0667,29.95,"KNEW"
"Jackson","Mississippi",-90.2,32.3333,"KHKS"
"St Louis","Missouri",-90.2,38.5833,"KCPS"
"Dubuque","Iowa",-90.6667,42.5167,"KDBQ"
"Duluth","Minnesota",-92.0833,46.8167,"KDLH"
"Hot Springs","Arkansas",-93.05,34.5167,"KHOT"
"Minneapolis","Minnesota",-93.2333,44.9833,"KMSP"
"Springfield","Missouri",-93.2833,37.2167,"KSGF"
"Des Moines","Iowa",-93.6167,41.5833,"KDSM"
"Shreveport","Louisiana",-93.7,32.4667,"KBAD"
"Kansas City","Missouri",-94.5833,39.1,"KMKC"
"Lincoln","Nebraska",-96.6667,40.8333,"KLNK"
"Sioux Falls","South Dakota",-96.7333,43.55,"KFSD"
"Dallas","Texas",-96.7667,32.7667,"KDAL"
"Fargo","North Dakota",-96.8,46.8667,"KFAR"
"Wichita","Kansas",-97.2833,37.7167,"KAAO"
"Oklahoma City","Oklahoma",-97.4667,35.4333,"KTIK"
"San Antonio","Texas",-98.55,29.3833,"KSKF"
"Pierre","South Dakota",-100.35,44.3667,"KPIR"
"North Platte","Nebraska",-100.767,41.1333,"KLBF"
"Bismarck","North Dakota",-100.783,46.8,"KBIS"
"Garden City","Kansas",-100.883,37.9667,"KGCK"
"Amarillo","Texas",-101.833,35.1833,"KAMA"
"Carlsbad","New Mexico",-104.25,32.4333,"KCNM"
"Trinidad","Colorado",-104.5,37.1667,"KTAD"
"Cheyenne","Wyoming",-104.867,41.15,"KCYS"
"Denver","Colorado",-105,39.75,"KBJC"
"Santa Fe","New Mexico",-105.95,35.6833,"KSAF"
"El Paso","Texas",-106.483,31.7667,"KELP"
"Grand Junction","Colorado",-108.55,39.0833,"KGJT"
"Lander","Wyoming",-108.667,42.8333,"KLND"
"Harve","Montana",-109.717,48.55,"KHVR"
"Nogales","Arizona",-110.933,31.35,"KOLS"
"Provo","Utah",-111.6608,40.2444,"KPVU"
"Flagstaff","Arizona",-111.683,35.2167,"KFLG"
"Salt Lake City","Utah",-111.9,40.7667,"KSLC"
"Idaho Falls","Idaho",-112.017,43.5,"KIDA"
"Helena","Montana",-112.033,46.5833,"KHLN"
"Phoenix","Arizona",-112.067,33.4833,"KPHX"
"Richfield","Utah",-112.083,38.7667,"KMLF"
"St. George","Utah",-113.5781,37.0953,"KSGU"
"Salmon","Idaho",-113.9,45.1833,"KSMN"
"Needles","California",-114.6,34.8333,"KEED"
"Las Vegas","Nevada",-115.2,36.1667,"KVGT"
"Boise","Idaho",-116.217,43.6,"KBOI"
"Lewiston","Idaho",-117.033,46.4,"KLWS"
"Austin","Nevada",-117.067,39.4833,"KP68"
"San Diego","California",-117.15,32.72,"KSAN"
"Spokane","Washington",-117.433,47.6667,"KGEG"
"Baker","Oregon",-117.833,44.7833,"KBKE"
"Los Angeles","California",-118.25,34.05,"KCQT"
"Fresno","California",-119.8,36.7333,"KFAT"
"Reno","Nevada",-119.817,39.5,"KRNO"
"Sacramento","California",-121.5,38.5833,"KSAC"
"Klamath Falls","Oregon",-121.733,42.1667,"KLMT"
"Seattle","Washington",-122.333,47.6167,"KBFI"
"San Francisco","California",-122.433,37.7833,"KSFO"
"Portland","Oregon",-122.683,45.5167,"KVUO"
"Eugene","Oregon",-123.083,44.05,"KEUG"
"Hoquiam","Washington",-123.9,46.9833,"KHQM"
"Anchorage","Alaska",-149.9,61.2167,"PAMR"
"Honolulu","Hawaii",-157.8167,21.3,"PHNL"
